Element Label      Node	Label	S.Mises @Loc 1	S.Mises @Loc 2
645	2	8,76E-03	8,87E-03
1858	2	8,76E-03	8,87E-03
2023	3	3,58E-01	3,88E-01
1648	3	3,58E-01	3,88E-01
1618	5	8,76E-03	8,87E-03
675	5	8,76E-03	8,87E-03
1643	6	1,06E-14	1,06E-14
641	8	2,54E-02	2,55E-02
1622	8	2,54E-02	2,55E-02
671	8	2,54E-02	2,55E-02
1862	8	2,54E-02	2,55E-02
670	9	9,29E-15	1,02E-14
1647	10	6,63E-15	8,10E-15
666	10	6,63E-15	8,10E-15
2725	11	3,58E-01	3,88E-01
840	11	3,58E-01	3,88E-01
836	12	8,25E-02	8,24E-02
2721	12	8,25E-02	8,24E-02
1652	12	8,25E-02	8,24E-02
2027	12	8,25E-02	8,24E-02
1668	16	4,07E-01	4,49E-01
2145	16	4,07E-01	4,49E-01
1672	19	1,31E-01	1,30E-01
1833	19	1,31E-01	1,30E-01
2149	19	1,31E-01	1,30E-01
2741	19	1,31E-01	1,30E-01
1837	20	4,07E-01	4,49E-01
2745	20	4,07E-01	4,49E-01
2764	21	2,63E-01	2,97E-01
2165	21	2,63E-01	2,97E-01
1857	23	2,63E-01	2,97E-01
2174	23	2,63E-01	2,97E-01
1853	24	1,93E-01	1,94E-01
2170	24	1,93E-01	1,94E-01
2169	24	1,93E-01	1,94E-01
2768	24	1,93E-01	1,94E-01
3191	26	2,13E-02	2,16E-02
2224	26	2,13E-02	2,16E-02
2220	27	6,20E-02	6,22E-02
2856	27	6,20E-02	6,22E-02
3187	27	6,20E-02	6,22E-02
2818	27	6,20E-02	6,22E-02
2852	28	2,13E-02	2,16E-02
2814	28	2,13E-02	2,16E-02
2877	31	6,00E-15	5,54E-15
3216	34	1,97E-14	1,90E-14
3212	35	9,20E-15	1,08E-14
2881	35	9,20E-15	1,08E-14
1863	51	1,63E-02	1,99E-02
1858	51	1,63E-02	1,99E-02
1863	52	1,08E-02	1,68E-02
1868	52	1,08E-02	1,68E-02
1873	53	1,81E-02	1,96E-02
1868	53	1,81E-02	1,96E-02
1873	54	4,01E-02	3,64E-02
1878	54	4,01E-02	3,64E-02
1883	55	5,52E-02	6,03E-02
1878	55	5,52E-02	6,03E-02
1888	56	8,19E-02	7,79E-02
1883	56	8,19E-02	7,79E-02
1893	57	1,03E-01	1,02E-01
1888	57	1,03E-01	1,02E-01
1898	58	8,65E-02	9,59E-02
1893	58	8,65E-02	9,59E-02
1898	59	7,98E-02	7,62E-02
1903	59	7,98E-02	7,62E-02
1908	60	9,87E-02	9,34E-02
1903	60	9,87E-02	9,34E-02
1913	61	1,13E-01	1,20E-01
1908	61	1,13E-01	1,20E-01
1918	62	1,44E-01	1,37E-01
1913	62	1,44E-01	1,37E-01
1918	63	1,67E-01	1,64E-01
1923	63	1,67E-01	1,64E-01
1928	64	1,48E-01	1,65E-01
1923	64	1,48E-01	1,65E-01
1928	65	1,47E-01	1,39E-01
1933	65	1,47E-01	1,39E-01
1938	66	1,60E-01	1,58E-01
1933	66	1,60E-01	1,58E-01
1943	67	1,77E-01	1,76E-01
1938	67	1,77E-01	1,76E-01
1948	68	1,92E-01	1,99E-01
1943	68	1,92E-01	1,99E-01
1953	69	2,25E-01	2,17E-01
1948	69	2,25E-01	2,17E-01
1953	70	2,50E-01	2,44E-01
1958	70	2,50E-01	2,44E-01
1958	71	2,23E-01	2,49E-01
1963	71	2,23E-01	2,49E-01
1963	72	2,26E-01	2,15E-01
1968	72	2,26E-01	2,15E-01
1968	73	2,37E-01	2,33E-01
1973	73	2,37E-01	2,33E-01
1978	74	2,51E-01	2,50E-01
1973	74	2,51E-01	2,50E-01
1978	75	2,66E-01	2,74E-01
1983	75	2,66E-01	2,74E-01
1988	76	3,02E-01	2,92E-01
1983	76	3,02E-01	2,92E-01
1993	77	3,29E-01	3,20E-01
1988	77	3,29E-01	3,20E-01
1993	78	2,97E-01	3,31E-01
1998	78	2,97E-01	3,31E-01
2003	79	3,03E-01	2,93E-01
1998	79	3,03E-01	2,93E-01
2008	80	3,19E-01	3,03E-01
2003	80	3,19E-01	3,03E-01
2008	81	3,17E-01	3,38E-01
2013	81	3,17E-01	3,38E-01
2013	82	3,64E-01	3,46E-01
2018	82	3,64E-01	3,46E-01
2018	83	3,90E-01	3,81E-01
2023	83	3,90E-01	3,81E-01
1623	147	1,25E-14	1,22E-14
1618	147	1,25E-14	1,22E-14
1623	148	4,57E-15	5,81E-15
1628	148	4,57E-15	5,81E-15
1633	149	4,35E-15	5,06E-15
1628	149	4,35E-15	5,06E-15
1633	150	6,05E-15	5,72E-15
1638	150	6,05E-15	5,72E-15
1643	151	1,07E-14	1,05E-14
1638	151	1,07E-14	1,05E-14
1861	172	2,45E-02	2,46E-02
641	172	2,45E-02	2,46E-02
642	172	2,45E-02	2,46E-02
1862	172	2,45E-02	2,46E-02
643	173	2,16E-02	2,17E-02
1860	173	2,16E-02	2,17E-02
1861	173	2,16E-02	2,17E-02
642	173	2,16E-02	2,17E-02
643	174	1,72E-02	1,73E-02
644	174	1,72E-02	1,73E-02
1859	174	1,72E-02	1,73E-02
1860	174	1,72E-02	1,73E-02
645	175	1,17E-02	1,18E-02
1859	175	1,17E-02	1,18E-02
1858	175	1,17E-02	1,18E-02
644	175	1,17E-02	1,18E-02
645	176	1,20E-14	1,25E-14
650	176	1,20E-14	1,25E-14
655	177	1,55E-14	1,58E-14
650	177	1,55E-14	1,58E-14
660	178	1,51E-14	1,56E-14
655	178	1,51E-14	1,56E-14
665	179	8,34E-15	9,69E-15
660	179	8,34E-15	9,69E-15
670	180	9,20E-15	1,05E-14
665	180	9,20E-15	1,05E-14
670	181	9,10E-15	1,03E-14
669	181	9,10E-15	1,03E-14
669	182	1,13E-14	1,24E-14
668	182	1,13E-14	1,24E-14
667	183	9,69E-15	9,99E-15
668	183	9,69E-15	9,99E-15
666	184	7,17E-15	7,70E-15
667	184	7,17E-15	7,70E-15
1647	185	6,95E-15	6,89E-15
666	185	6,95E-15	6,89E-15
661	185	6,95E-15	6,89E-15
1642	185	6,95E-15	6,89E-15
1642	186	6,83E-15	5,06E-15
656	186	6,83E-15	5,06E-15
1637	186	6,83E-15	5,06E-15
661	186	6,83E-15	5,06E-15
651	187	5,41E-15	6,08E-15
1632	187	5,41E-15	6,08E-15
1637	187	5,41E-15	6,08E-15
656	187	5,41E-15	6,08E-15
651	188	3,15E-15	5,55E-15
1632	188	3,15E-15	5,55E-15
1627	188	3,15E-15	5,55E-15
646	188	3,15E-15	5,55E-15
646	189	6,09E-15	6,80E-15
1622	189	6,09E-15	6,80E-15
1627	189	6,09E-15	6,80E-15
641	189	6,09E-15	6,80E-15
672	190	2,45E-02	2,46E-02
1622	190	2,45E-02	2,46E-02
1621	190	2,45E-02	2,46E-02
671	190	2,45E-02	2,46E-02
1621	191	2,16E-02	2,17E-02
673	191	2,16E-02	2,17E-02
1620	191	2,16E-02	2,17E-02
