Node Label    RF.Ma	gnitude	RF.RF1	RF.RF2	RF.RF3	U.Magnitude	U.U1	U.U2	U.U3
1	0	0	0	0	200,111	3,75E-02	200,111	-3,29E-36
2	0	0	0	0	44,1567	2,58239	20,3	-39,1287
3	0	0	0	0	39,2926	4,09E-01	2,91E-01	-39,2894
4	0	0	0	0	180,178	-6,96E-02	180,178	-1,44E-01
5	0	0	0	0	44,1619	-2,66882	20,3	39,1287
6	0	0	0	0	46,4552	-2,66831	24,8505	39,1589
7	0	0	0	0	204,66	3,75E-02	204,66	3,05E-02
8	0	0	0	0	18,8288	-6,08E-02	-18,8287	-3,29E-36
9	0	0	0	0	46,399	2,58188	24,8505	-39,0979
10	0	0	0	0	14,2781	-6,08E-02	-14,2779	3,05E-02
11	0	0	0	0	39,0043	-4,13E-01	2,91E-01	39,001
12	0	0	0	0	38,8543	1,25E-02	-38,854	-1,44E-01
13	0	0	0	0	20,3	-4,32E-02	20,3	-3,29E-36
14	0	0	0	0	24,8506	-4,32E-02	24,8505	3,05E-02
15	0	0	0	0	3,25E-01	-2,16E-03	2,91E-01	-1,44E-01
16	0	0	0	0	39,2551	-3,26E-01	1,01E-34	-39,2537
17	0	0	0	0	0	-4,95E-36	1,01E-34	-3,95E-35
18	0	0	0	0	180,386	-7,54E-02	180,385	-3,95E-35
19	0	0	0	0	39,2537	1,64E-02	-39,2537	-3,95E-35
20	0	0	0	0	39,2551	3,26E-01	1,01E-34	39,2537
21	0	0	0	0	39,2901	-9,85E-01	1,59617	-39,2453
22	0	0	0	0	181,96	-5,82E-02	181,96	3,67E-03
23	0	0	0	0	39,2971	9,72E-01	1,59617	39,2527
24	0	0	0	0	37,6528	4,72E-03	-37,6528	3,67E-03
25	0	0	0	0	1,59619	-6,53E-03	1,59617	3,67E-03
26	0	0	0	0	39,8487	1,49334	6,81	39,2341
27	0	0	0	0	32,4241	-4,51E-03	-32,4241	4,05E-36
28	0	0	0	0	39,8496	-1,51673	6,81	-39,2341
29	0	0	0	0	6,81001	-1,17E-02	6,81	4,05E-36
30	0	0	0	0	187,105	-4,47E-02	187,105	6,20E-09
31	0	0	0	0	40,3606	-1,51623	9,39997	-39,2214
32	0	0	0	0	189,694	-4,47E-02	189,694	1,24E-02
33	0	0	0	0	9,39999	-1,17E-02	9,39997	1,24E-02
34	0	0	0	0	40,3838	1,49284	9,39997	39,2462
35	0	0	0	0	29,8338	-4,51E-03	-29,8338	1,24E-02
36	0	0	0	0	188,889	1,97E-01	188,873	-2,44555
37	0	0	0	0	177,703	3,56E-01	177,635	-4,89109
38	0	0	0	0	166,559	5,15E-01	166,397	-7,33664
39	0	0	0	0	155,468	6,74E-01	155,158	-9,78218
40	0	0	0	0	144,441	8,33E-01	143,92	-12,2277
41	0	0	0	0	133,495	9,92E-01	132,682	-14,6733
42	0	0	0	0	122,65	1,15092	121,444	-17,1188
43	0	0	0	0	111,936	1,30997	110,206	-19,5644
44	0	0	0	0	101,396	1,46902	98,9674	-22,0099
45	0	0	0	0	91,0886	1,62808	87,7292	-24,4555
46	0	0	0	0	81,1032	1,78713	76,491	-26,901
47	0	0	0	0	71,5747	1,94618	65,2528	-29,3466
48	0	0	0	0	62,7116	2,10523	54,0146	-31,7921
49	0	0	0	0	54,8376	2,26429	42,7764	-34,2376
50	0	0	0	0	48,4375	2,42334	31,5382	-36,6832
51	0	0	0	0	43,8138	2,58073	19,518	-39,1412
52	0	0	0	0	43,4788	2,59338	18,7208	-39,1562
53	0	0	0	0	43,1505	2,5894	17,9185	-39,1687
54	0	0	0	0	42,8327	2,57933	17,1222	-39,1768
55	0	0	0	0	42,5271	2,56219	16,326	-39,1849
56	0	0	0	0	42,2333	2,53711	15,5397	-39,1885
57	0	0	0	0	41,9516	2,50813	14,7575	-39,19
58	0	0	0	0	41,6819	2,46066	13,9746	-39,1923
59	0	0	0	0	41,4583	2,44479	13,2296	-39,2146
60	0	0	0	0	41,2389	2,41439	12,4773	-39,2318
61	0	0	0	0	41,0274	2,37602	11,7343	-39,2417
62	0	0	0	0	40,8247	2,32918	11,006	-39,2441
63	0	0	0	0	40,6289	2,27939	10,2888	-39,2384
64	0	0	0	0	40,4419	2,2103	9,56699	-39,2318
65	0	0	0	0	40,3199	2,17218	8,91062	-39,263
66	0	0	0	0	40,2	2,1206	8,2409	-39,2891
67	0	0	0	0	40,081	2,05992	7,59166	-39,3015
68	0	0	0	0	39,9681	1,99366	6,95698	-39,3075
69	0	0	0	0	39,8578	1,91842	6,34635	-39,3026
70	0	0	0	0	39,7483	1,84256	5,75441	-39,2864
71	0	0	0	0	39,6434	1,74608	5,1533	-39,2682
72	0	0	0	0	39,6165	1,68125	4,6504	-39,3067
73	0	0	0	0	39,5875	1,60461	4,1298	-39,3388
74	0	0	0	0	39,5492	1,51731	3,63731	-39,3523
75	0	0	0	0	39,509	1,42518	3,16699	-39,356
76	0	0	0	0	39,4621	1,32353	2,7282	-39,3455
77	0	0	0	0	39,4059	1,22298	2,31575	-39,3188
78	0	0	0	0	39,3495	1,10067	1,88971	-39,2887
79	0	0	0	0	39,3752	1,00867	1,5923	-39,3301
