Node Label    RF	.Magnitude	RF.RF1	RF.RF2	RF.RF3	U.Magnitude	U.U1	U.U2	U.U3
1	0	0	0	0	97,1822	-3,76E-02	-97,1822	3,31E-36
2	0	0	0	0	32,7519	2,64833	20,3	25,5653
3	0	0	0	0	25,7187	4,29E-01	3,14E-01	25,7132
4	0	0	0	0	117,186	6,96E-02	-117,186	1,44E-01
5	0	0	0	0	32,7451	-2,56194	20,3	-25,5653
6	0	0	0	0	35,7449	-2,56228	24,8193	-25,5956
7	0	0	0	0	92,662	-3,76E-02	-92,6619	-3,05E-02
8	0	0	0	0	45,8653	6,08E-02	45,8653	3,31E-36
9	0	0	0	0	35,7076	2,64867	24,8193	25,5346
10	0	0	0	0	50,3844	6,08E-02	50,3844	-3,05E-02
11	0	0	0	0	25,4303	-4,25E-01	3,14E-01	-25,4249
12	0	0	0	0	25,8833	-1,25E-02	25,8829	1,44E-01
13	0	0	0	0	20,3	4,32E-02	20,3	3,31E-36
14	0	0	0	0	24,8193	4,32E-02	24,8193	-3,05E-02
15	0	0	0	0	3,45E-01	2,15E-03	3,14E-01	1,44E-01
16	0	0	0	0	25,6665	-3,15E-01	1,05E-34	25,6646
17	0	0	0	0	0	-5,01E-36	1,05E-34	3,96E-35
18	0	0	0	0	117,938	7,54E-02	-117,938	3,96E-35
19	0	0	0	0	25,6646	-1,64E-02	25,6646	3,96E-35
20	0	0	0	0	25,6665	3,15E-01	1,05E-34	-25,6646
21	0	0	0	0	25,7265	-9,68E-01	1,59445	25,6588
22	0	0	0	0	116,333	5,82E-02	-116,333	-3,42E-03
23	0	0	0	0	25,7338	9,81E-01	1,59445	-25,6656
24	0	0	0	0	27,2566	-4,73E-03	27,2566	-3,42E-03
25	0	0	0	0	1,59447	6,51E-03	1,59445	-3,42E-03
26	0	0	0	0	26,6051	1,51697	6,81	-25,6739
27	0	0	0	0	32,4839	4,44E-03	32,4839	-4,36E-36
28	0	0	0	0	26,6037	-1,49367	6,81	25,6739
29	0	0	0	0	6,81001	1,16E-02	6,81	-4,36E-36
30	0	0	0	0	111,171	4,48E-02	-111,171	-4,06E-09
31	0	0	0	0	27,3712	-1,49401	9,40467	25,6613
32	0	0	0	0	108,576	4,48E-02	-108,576	-1,24E-02
33	0	0	0	0	9,40468	1,16E-02	9,40467	-1,24E-02
34	0	0	0	0	27,3958	1,51731	9,40467	-25,6862
35	0	0	0	0	35,0784	4,44E-03	35,0784	-1,24E-02
36	0	0	0	0	89,8539	1,30E-01	-89,8396	1,59783
37	0	0	0	0	82,5593	2,98E-01	-82,4969	3,19566
38	0	0	0	0	75,3084	4,66E-01	-75,1543	4,7935
39	0	0	0	0	68,1151	6,34E-01	-67,8116	6,39133
40	0	0	0	0	60,9998	8,02E-01	-60,469	7,98916
41	0	0	0	0	53,9932	9,70E-01	-53,1264	9,58699
42	0	0	0	0	47,1439	1,13752	-45,7837	11,1848
43	0	0	0	0	40,5317	1,30539	-38,4411	12,7827
44	0	0	0	0	34,2941	1,47326	-31,0985	14,3805
45	0	0	0	0	28,6765	1,64113	-23,7558	15,9783
46	0	0	0	0	24,1161	1,80899	-16,4132	17,5761
47	0	0	0	0	21,3032	1,97686	-9,07055	19,174
48	0	0	0	0	20,9536	2,14473	-1,72791	20,7718
49	0	0	0	0	23,1792	2,3126	5,61473	22,3696
50	0	0	0	0	27,3585	2,48047	12,9574	23,9675
51	0	0	0	0	32,2784	2,64647	19,5255	25,5665
52	0	0	0	0	31,8084	2,65769	18,7366	25,5665
53	0	0	0	0	31,3491	2,65321	17,9426	25,5694
54	0	0	0	0	30,9092	2,64279	17,1542	25,576
55	0	0	0	0	30,4831	2,62569	16,3659	25,5829
56	0	0	0	0	30,079	2,60087	15,5871	25,5935
57	0	0	0	0	29,6935	2,57242	14,8121	25,6064
58	0	0	0	0	29,32	2,52618	14,036	25,6178
59	0	0	0	0	28,965	2,5095	13,2971	25,6097
60	0	0	0	0	28,6245	2,47889	12,5503	25,6067
61	0	0	0	0	28,3085	2,44042	11,8121	25,6103
62	0	0	0	0	28,0198	2,3936	11,0882	25,6209
63	0	0	0	0	27,7576	2,34399	10,3745	25,639
64	0	0	0	0	27,5082	2,27521	9,65564	25,6572
65	0	0	0	0	27,2648	2,23617	9,00229	25,6384
66	0	0	0	0	27,0343	2,18413	8,33444	25,6245
67	0	0	0	0	26,8353	2,12269	7,68631	25,6232
68	0	0	0	0	26,6598	2,05592	7,05199	25,6279
69	0	0	0	0	26,5128	1,97978	6,441	25,6422
70	0	0	0	0	26,394	1,9033	5,84793	25,6675
71	0	0	0	0	26,2852	1,80563	5,24442	25,6933
72	0	0	0	0	26,1553	1,73912	4,74092	25,6631
73	0	0	0	0	26,0366	1,66108	4,21784	25,639
74	0	0	0	0	25,9486	1,57175	3,72214	25,6321
75	0	0	0	0	25,8816	1,47785	3,24774	25,6345
76	0	0	0	0	25,8391	1,37368	2,80428	25,6498
77	0	0	0	0	25,8226	1,27095	2,38638	25,6807
78	0	0	0	0	25,8128	1,14522	1,953	25,7133
79	0	0	0	0	25,7488	1,05012	1,65242	25,6742
80	0	0	0	0	25,697	9,45E-01	1,33182	25,645
81	0	0	0	0	25,6698	8,28E-01	1,03725	25,6355
82	0	0	0	0	25,6676	7,02E-01	7,83E-01	25,646
83	0	0	0	0	25,6898	5,78E-01	5,57E-01	25,6773
84	0	0	0	0	25,1222	4,07E-01	-7,02989	24,1152
85	0	0	0	0	26,7164	3,84E-01	-14,3736	22,5171
86	0	0	0	0	30,1559	3,62E-01	-21,7173	20,919
87	0	0	0	0	34,8993	3,39E-01	-29,061	19,321
88	0	0	0	0	40,4908	3,17E-01	-36,4047	17,7229
89	0	0	0	0	46,6264	2,94E-01	-43,7485	16,1248
90	0	0	0	0	53,1179	2,72E-01	-51,0922	14,5268
91	0	0	0	0	59,8495	2,49E-01	-58,4359	12,9287
92	0	0	0	0	66,7487	2,27E-01	-65,7796	11,3307
93	0	0	0	0	73,7684	2,04E-01	-73,1233	9,73259
94	0	0	0	0	80,8773	1,82E-01	-80,467	8,13452
95	0	0	0	0	88,0538	1,59E-01	-87,8107	6,53645
96	0	0	0	0	95,2826	1,37E-01	-95,1545	4,93839
97	0	0	0	0	102,553	1,15E-01	-102,498	3,34032
98	0	0	0	0	109,856	9,20E-02	-109,842	1,74226
99	0	0	0	0	117,069	6,00E-02	-117,069	1,41E-01
100	0	0	0	0	116,905	5,48E-02	-116,904	1,42E-01
101	0	0	0	0	116,648	4,91E-02	-116,648	1,41E-01
102	0	0	0	0	116,356	4,43E-02	-116,356	1,42E-01
103	0	0	0	0	115,96	4,03E-02	-115,96	1,43E-01
104	0	0	0	0	115,535	3,52E-02	-115,535	1,47E-01
105	0	0	0	0	115,215	2,69E-02	-115,215	1,42E-01
106	0	0	0	0	114,846	2,25E-02	-114,846	1,39E-01
107	0	0	0	0	114,427	1,74E-02	-114,427	1,36E-01
108	0	0	0	0	113,949	1,37E-02	-113,949	1,34E-01
109	0	0	0	0	113,437	9,65E-03	-113,437	1,32E-01
110	0	0	0	0	112,845	6,89E-03	-112,845	1,29E-01
111	0	0	0	0	112,232	3,34E-03	-112,232	1,29E-01
112	0	0	0	0	111,71	-3,30E-03	-111,71	1,22E-01
113	0	0	0	0	111,15	-6,63E-03	-111,15	1,18E-01
114	0	0	0	0	110,558	-1,05E-02	-110,558	1,13E-01
115	0	0	0	0	109,92	-1,31E-02	-109,919	1,08E-01
116	0	0	0	0	109,261	-1,58E-02	-109,261	1,03E-01
117	0	0	0	0	108,542	-1,76E-02	-108,542	9,82E-02
118	0	0	0	0	107,812	-1,94E-02	-107,812	9,51E-02
119	0	0	0	0	107,139	-2,43E-02	-107,139	8,75E-02
120	0	0	0	0	106,444	-2,65E-02	-106,444	8,13E-02
121	0	0	0	0	105,72	-2,88E-02	-105,72	7,46E-02
122	0	0	0	0	104,984	-3,02E-02	-104,983	6,83E-02
123	0	0	0	0	104,207	-3,13E-02	-104,207	6,21E-02
124	0	0	0	0	103,426	-3,16E-02	-103,426	5,69E-02
125	0	0	0	0	102,673	-3,51E-02	-102,673	4,92E-02
126	0	0	0	0	101,9	-3,66E-02	-101,9	4,22E-02
127	0	0	0	0	101,13	-3,80E-02	-101,13	3,48E-02
128	0	0	0	0	100,339	-3,86E-02	-100,339	2,77E-02
129	0	0	0	0	99,5512	-3,89E-02	-99,5512	2,04E-02
130	0	0	0	0	98,738	-3,88E-02	-98,738	1,34E-02
131	0	0	0	0	97,9318	-3,75E-02	-97,9318	6,63E-03
132	0	0	0	0	89,854	-1,95E-01	-89,8396	-1,59783
133	0	0	0	0	82,5595	-3,53E-01	-82,4969	-3,19566
134	0	0	0	0	75,3087	-5,11E-01	-75,1543	-4,7935
