Node Label    RF.M	agnitude	RF.RF1	RF.RF2	RF.RF3	U.Magnitude	U.U1	U.U2	U.U3
1	0	0	0	0	97,6858	-1,42E-15	-97,6858	1,26E-38
2	0	0	0	0	32,8347	2,61316	20,3	25,6749
3	0	0	0	0	25,6758	4,20E-01	3,06E-01	25,6706
4	0	0	0	0	117,66	2,36E-16	-117,66	-6,27E-15
5	0	0	0	0	32,8347	-2,61316	20,3	-25,6749
6	0	0	0	0	35,8139	-2,61316	24,8315	-25,6749
7	0	0	0	0	93,1544	-7,22E-16	-93,1544	1,23E-15
8	0	0	0	0	45,9749	-2,15E-16	45,9749	1,26E-38
9	0	0	0	0	35,8139	2,61316	24,8315	25,6749
10	0	0	0	0	50,5064	-5,34E-16	50,5064	1,23E-15
11	0	0	0	0	25,6758	-4,20E-01	3,06E-01	-25,6706
12	0	0	0	0	25,9767	2,31E-16	25,9767	-6,27E-15
13	0	0	0	0	20,3	-4,30E-16	20,3	1,26E-38
14	0	0	0	0	24,8315	-5,62E-16	24,8315	1,23E-15
15	0	0	0	0	3,06E-01	2,24E-16	3,06E-01	-6,27E-15
16	0	0	0	0	25,6665	-3,20E-01	1,03E-34	25,6646
17	0	0	0	0	0	-4,98E-36	1,03E-34	4,64E-38
18	0	0	0	0	117,938	1,53E-16	-117,938	4,64E-38
19	0	0	0	0	25,6646	-3,12E-17	25,6646	4,64E-38
20	0	0	0	0	25,6665	3,20E-01	1,03E-34	-25,6646
21	0	0	0	0	25,7336	-9,76E-01	1,59517	25,6656
22	0	0	0	0	116,348	8,74E-16	-116,348	-3,90E-15
23	0	0	0	0	25,7336	9,76E-01	1,59517	-25,6656
24	0	0	0	0	27,2608	-6,18E-16	27,2608	-3,90E-15
25	0	0	0	0	1,59517	-3,56E-16	1,59517	-3,90E-15
26	0	0	0	0	26,6089	1,5052	6,81	-25,6786
27	0	0	0	0	32,4886	8,67E-14	32,4886	-1,69E-37
28	0	0	0	0	26,6089	-1,5052	6,81	25,6786
29	0	0	0	0	6,81	2,36E-14	6,81	-1,69E-37
30	0	0	0	0	111,193	2,38E-10	-111,193	-4,06E-09
31	0	0	0	0	27,3874	-1,5052	9,40278	25,6786
32	0	0	0	0	108,6	-2,66E-13	-108,6	1,06E-13
33	0	0	0	0	9,40278	2,36E-14	9,40278	1,06E-13
34	0	0	0	0	27,3874	1,5052	9,40278	-25,6786
35	0	0	0	0	35,0814	8,67E-14	35,0814	1,06E-13
36	0	0	0	0	90,3261	1,63E-01	-90,3117	1,60468
37	0	0	0	0	83,0003	3,27E-01	-82,9376	3,20936
38	0	0	0	0	75,7183	4,90E-01	-75,5635	4,81404
39	0	0	0	0	68,4939	6,53E-01	-68,1894	6,41873
40	0	0	0	0	61,3477	8,17E-01	-60,8153	8,02341
41	0	0	0	0	54,3104	9,80E-01	-53,4412	9,62809
42	0	0	0	0	47,4305	1,14326	-46,067	11,2328
43	0	0	0	0	40,7879	1,30658	-38,6929	12,8375
44	0	0	0	0	34,5196	1,4699	-31,3188	14,4421
45	0	0	0	0	28,8707	1,63322	-23,9447	16,0468
46	0	0	0	0	24,2773	1,79655	-16,5706	17,6515
47	0	0	0	0	21,4293	1,95987	-9,19646	19,2562
48	0	0	0	0	21,0477	2,12319	-1,82234	20,8609
49	0	0	0	0	23,2541	2,28651	5,55177	22,4655
50	0	0	0	0	27,4309	2,44984	12,9259	24,0702
51	0	0	0	0	32,3553	2,61138	19,5226	25,6693
52	0	0	0	0	31,8785	2,62324	18,7304	25,6619
53	0	0	0	0	31,4124	2,61901	17,933	25,6571
54	0	0	0	0	30,9659	2,60879	17,1415	25,6564
55	0	0	0	0	30,533	2,59173	16,3501	25,6558
56	0	0	0	0	30,1225	2,56688	15,5683	25,6594
57	0	0	0	0	29,7304	2,53829	14,7906	25,665
58	0	0	0	0	29,3508	2,49164	14,0118	25,6696
59	0	0	0	0	28,9894	2,47545	13,2704	25,6545
60	0	0	0	0	28,6427	2,44506	12,5214	25,6445
61	0	0	0	0	28,3209	2,40678	11,7814	25,6414
62	0	0	0	0	28,0266	2,36012	11,0558	25,6455
63	0	0	0	0	27,7592	2,31058	10,3407	25,6574
64	0	0	0	0	27,505	2,24185	9,62085	25,6698
65	0	0	0	0	27,2564	2,20346	8,96614	25,645
66	0	0	0	0	27,0208	2,15182	8,29753	25,6251
67	0	0	0	0	26,8174	2,09094	7,64898	25,6183
68	0	0	0	0	26,6377	2,0246	7,01455	25,6177
69	0	0	0	0	26,4872	1,94909	6,40377	25,6274
70	0	0	0	0	26,3648	1,87308	5,81124	25,6481
71	0	0	0	0	26,2534	1,77618	5,20894	25,6701
72	0	0	0	0	26,1202	1,71073	4,70544	25,6359
73	0	0	0	0	25,9987	1,63355	4,18331	25,6079
74	0	0	0	0	25,9083	1,5454	3,6889	25,5978
75	0	0	0	0	25,8393	1,45252	3,21617	25,5972
76	0	0	0	0	25,7954	1,34973	2,77464	25,6102
77	0	0	0	0	25,7775	1,24819	2,35902	25,639
78	0	0	0	0	25,7673	1,12423	1,9289	25,6704
79	0	0	0	0	25,7027	1,03086	1,62928	25,6303
80	0	0	0	0	25,6506	9,28E-01	1,31078	25,6003
81	0	0	0	0	25,6238	8,12E-01	1,01896	25,5906
82	0	0	0	0	25,622	6,88E-01	7,68E-01	25,6013
83	0	0	0	0	25,6452	5,66E-01	5,45E-01	25,6332
84	0	0	0	0	25,0853	3,94E-01	-7,06671	24,0662
85	0	0	0	0	26,7052	3,68E-01	-14,4396	22,4617
86	0	0	0	0	30,1816	3,41E-01	-21,8124	20,8573
87	0	0	0	0	34,9651	3,15E-01	-29,1853	19,2529
88	0	0	0	0	40,5962	2,89E-01	-36,5582	17,6485
89	0	0	0	0	46,7699	2,63E-01	-43,931	16,0441
90	0	0	0	0	53,2978	2,36E-01	-51,3039	14,4397
91	0	0	0	0	60,0646	2,10E-01	-58,6768	12,8353
92	0	0	0	0	66,9979	1,84E-01	-66,0497	11,2309
93	0	0	0	0	74,0511	1,58E-01	-73,4225	9,62646
94	0	0	0	0	81,1928	1,31E-01	-80,7954	8,02205
95	0	0	0	0	88,4016	1,05E-01	-88,1683	6,41764
96	0	0	0	0	95,6623	7,88E-02	-95,5411	4,81323
97	0	0	0	0	102,964	5,25E-02	-102,914	3,20882
98	0	0	0	0	110,299	2,63E-02	-110,287	1,60441
99	0	0	0	0	117,548	2,08E-17	-117,548	-2,94E-15
100	0	0	0	0	117,388	-1,32E-16	-117,388	2,86E-15
101	0	0	0	0	117,136	-9,85E-16	-117,136	-2,50E-16
102	0	0	0	0	116,849	-1,82E-15	-116,849	-2,39E-15
103	0	0	0	0	116,457	-1,06E-15	-116,457	-4,69E-15
104	0	0	0	0	116,036	2,78E-17	-116,036	-5,75E-15
105	0	0	0	0	115,719	-1,48E-15	-115,719	-2,08E-15
106	0	0	0	0	115,355	2,05E-16	-115,355	-8,49E-15
107	0	0	0	0	114,939	3,05E-16	-114,939	-7,49E-16
108	0	0	0	0	114,464	2,65E-15	-114,464	-3,66E-15
109	0	0	0	0	113,954	2,94E-15	-113,954	-8,33E-17
110	0	0	0	0	113,365	8,29E-16	-113,365	1,69E-15
111	0	0	0	0	112,755	-1,44E-16	-112,755	-5,55E-17
112	0	0	0	0	112,234	-3,57E-15	-112,234	-4,65E-15
113	0	0	0	0	111,676	1,08E-15	-111,676	-2,94E-15
114	0	0	0	0	111,085	-3,02E-15	-111,085	-2,12E-15
115	0	0	0	0	110,448	-1,86E-15	-110,448	-4,50E-15
116	0	0	0	0	109,79	-2,40E-15	-109,79	-6,79E-15
117	0	0	0	0	109,072	-3,68E-16	-109,072	-5,94E-15
118	0	0	0	0	108,342	6,25E-17	-108,342	-3,01E-15
119	0	0	0	0	107,669	2,03E-15	-107,669	2,71E-15
120	0	0	0	0	106,973	-8,29E-16	-106,973	3,71E-15
121	0	0	0	0	106,248	-1,56E-16	-106,248	-1,15E-15
122	0	0	0	0	105,51	1,03E-15	-105,51	-3,28E-15
123	0	0	0	0	104,732	-4,09E-16	-104,732	8,88E-16
124	0	0	0	0	103,95	3,47E-17	-103,95	-2,25E-15
125	0	0	0	0	103,194	-9,65E-16	-103,194	3,96E-16
126	0	0	0	0	102,42	-1,85E-15	-102,42	-2,65E-15
127	0	0	0	0	101,647	-2,50E-15	-101,647	-2,55E-15
128	0	0	0	0	100,853	1,30E-15	-100,853	-2,99E-15
129	0	0	0	0	100,063	-7,70E-16	-100,063	5,92E-15
130	0	0	0	0	99,2467	-1,55E-15	-99,2467	1,13E-15
131	0	0	0	0	98,4376	-1,21E-15	-98,4376	-3,75E-16
132	0	0	0	0	90,3261	-1,63E-01	-90,3117	-1,60468
133	0	0	0	0	83,0003	-3,27E-01	-82,9376	-3,20936
134	0	0	0	0	75,7183	-4,90E-01	-75,5635	-4,81404
135	0	0	0	0	68,4939	-6,53E-01	-68,1894	-6,41873
136	0	0	0	0	61,3477	-8,17E-01	-60,8153	-8,02341
137	0	0	0	0	54,3104	-9,80E-01	-53,4412	-9,62809
138	0	0	0	0	47,4305	-1,14326	-46,067	-11,2328
139	0	0	0	0	40,7879	-1,30658	-38,6929	-12,8375
140	0	0	0	0	34,5196	-1,4699	-31,3188	-14,4421
141	0	0	0	0	28,8707	-1,63322	-23,9447	-16,0468
