element label	n1	n2	n3	n4
1	1	36	635	131
2	36	37	636	635
3	37	38	637	636
4	38	39	638	637
5	39	40	639	638
6	40	41	640	639
7	41	42	641	640
8	42	43	642	641
9	43	44	643	642
10	44	45	644	643
11	45	46	645	644
12	46	47	646	645
13	47	48	647	646
14	48	49	648	647
15	49	50	649	648
16	50	2	51	649
17	131	635	650	130
18	635	636	651	650
19	636	637	652	651
20	637	638	653	652
21	638	639	654	653
22	639	640	655	654
23	640	641	656	655
24	641	642	657	656
25	642	643	658	657
26	643	644	659	658
27	644	645	660	659
28	645	646	661	660
29	646	647	662	661
30	647	648	663	662
31	648	649	664	663
32	649	51	52	664
33	130	650	665	129
34	650	651	666	665
35	651	652	667	666
36	652	653	668	667
37	653	654	669	668
38	654	655	670	669
39	655	656	671	670
40	656	657	672	671
41	657	658	673	672
42	658	659	674	673
43	659	660	675	674
44	660	661	676	675
45	661	662	677	676
46	662	663	678	677
47	663	664	679	678
48	664	52	53	679
49	129	665	680	128
50	665	666	681	680
51	666	667	682	681
52	667	668	683	682
53	668	669	684	683
54	669	670	685	684
55	670	671	686	685
56	671	672	687	686
57	672	673	688	687
58	673	674	689	688
59	674	675	690	689
60	675	676	691	690
61	676	677	692	691
62	677	678	693	692
63	678	679	694	693
64	679	53	54	694
65	128	680	695	127
66	680	681	696	695
67	681	682	697	696
68	682	683	698	697
69	683	684	699	698
70	684	685	700	699
71	685	686	701	700
72	686	687	702	701
73	687	688	703	702
74	688	689	704	703
75	689	690	705	704
76	690	691	706	705
77	691	692	707	706
78	692	693	708	707
79	693	694	709	708
80	694	54	55	709
81	127	695	710	126
82	695	696	711	710
83	696	697	712	711
84	697	698	713	712
85	698	699	714	713
86	699	700	715	714
87	700	701	716	715
88	701	702	717	716
89	702	703	718	717
90	703	704	719	718
91	704	705	720	719
92	705	706	721	720
93	706	707	722	721
94	707	708	723	722
95	708	709	724	723
96	709	55	56	724
97	126	710	725	125
98	710	711	726	725
99	711	712	727	726
